Gene,lof.oe_ci.upper
MCCD1,1.844
MCEE,0.867
MCEMP1,0.914
MCF2L,0.689
MCF2L2,0.786
MCFD2,1.366
MCHR1,0.924
MCHR2,0.973
MCIDAS,0.989
MCL1,0.21
MCM10,0.931
MCM2,0.682
MCM3,0.806
MCM3AP,0.769
MCM4,0.745
MCM5,0.723
MCM6,0.676
MCM7,1.293
MCM8,0.929
MCM9,0.82
MCMBP,0.535
MCMDC2,0.779
MCOLN1,0.895
MCOLN2,1.038
MCOLN3,1.032
MCPH1,1.244
MCRIP1,1.078
MCRIP2,1.696
MCRS1,0.504
MCTP1,0.721
MCTP2,1.241
MCU,0.44
MCUB,1.487
MCUR1,1.26
MDC 1.00,0.632
MDFI,1.242
MDFIC,1.501
MDGA1,0.752
MDGA2,0.323
MDH1,0.665
MDH1B,1.019
MDH2,0.984
MDK,1.698
MDM1,0.799
MDM2,0.221
MDM4,0.128
MDN1,0.415
MDP1,1.147
ME1,1.225
ME2,1.057
ME3,0.853
MEA1,1.338
MEAF6,0.813
MEAK7,1.86
MECOM,0.111
MECR,0.837
MED1,0.158
MED10,1.742
MED11,1.835
MED12L,0.203
MED13,0.124
MED13L,0.041
MED15,0.413
MED16,1.107
MED17,0.698
MED18,1.149
MED19,0.498
MED20,1.33
MED21,0.681
MED22,1.034
MED23,0.745
MED24,0.676
MED25,0.874
MED26,0.326
MED27,1.082
MED28,1.703
MED29,0.995
MED30,0.847
MED31,0.799
MED4,1.033
MED6,1.164
MED7,0.718
MED8,0.871
MED9,1.082
MEDAG,1.408
MEF2A,0.721
MEF2B,0.711
MEF2C,0.212
MEF2D,0.285
MEFV,1.147
MEGF10,0.707
MEGF11,1.115
MEGF6,1.215
MEGF8,0.696
MEGF9,0.281
MEI1,0.818
MEI4,1.341
MEIG1,1.594
MEIOB,1.318
MEIOC,0.177
MEIS1,0.217
MEIS2,0.129
MEIS3,1.084
MELK,1.037
MELTF,1.039
MEMO1,0.289
MEN1,0.181
MEOX1,1.109
MEOX2,0.756
MEP1A,0.882
MEP1B,1.223
MEPCE,0.333
MEPE,1.546
MERTK,0.707
MESD,0.811
MESP1,1.986
MESP2,1.656
MEST,0.528
MET,0.439
METAP1,0.877
METAP1D,1.096
METAP2,0.754
METRN,1.812
METRNL,0.85
METTL1,0.744
METTL11B,1.196
METTL13,0.864
METTL14,0.665
METTL15,1.174
METTL16,0.492
METTL17,1.033
METTL18,1.071
METTL21A,0.998
METTL21C,1.008
METTL22,1.297
METTL23,1.625
METTL24,1.239
METTL25,0.999
METTL25B,0.944
METTL26,1.77
METTL27,1.556
METTL2A,1.173
METTL2B,0.767
METTL3,0.807
METTL4,1.029
METTL5,1.694
METTL6,0.996
METTL7A,1.038
METTL7B,1.148
METTL8,0.856
METTL9,0.328
MEX3A,0.371
MEX3B,1.826
MEX3C,0.578
MEX3D,1.223
MFAP1,0.412
MFAP2,1.024
MFAP3,0.658
MFAP3L,0.577
MFAP4,0.818
MFAP5,0.871
MFF,0.493
MFGE8,1.003
MFHAS1,0.859
MFN1,0.925
MFN2,0.581
MFNG,0.973
MFRP,1.097
MFSD1,1.026
MFSD10,1.55
MFSD11,0.757
MFSD12,1.733
MFSD13A,0.66
MFSD14A,0.794
MFSD14B,0.838
MFSD14C,1.067
MFSD2A,0.534
MFSD2B,1.303
MFSD3,1.795
MFSD4A,0.755
MFSD4B,1.089
MFSD5,0.976
MFSD6,0.596
MFSD6L,1.884
MFSD8,0.974
MFSD9,1.45
MGA,0.181
MGAM,0.832
MGARP,1.813
MGAT1,0.639
MGAT2,0.74
MGAT3,0.601
MGAT4A,0.698
MGAT4B,0.617
MGAT4C,0.648
MGAT5,0.415
MGAT5B,0.715
MGLL,0.309
MGME1,0.932
MGMT,1.187
MGP,1.577
MGRN1,0.425
MGST1,1.177
MGST2,0.857
MGST3,1.17
MIA,1.288
MIA-RAB4B,
MIA2,0.749
MIA3,0.524
MIB1,1.984
MIB2,1.018
MICA,0.782
MICAL1,0.767
MICAL2,0.701
MICAL3,0.332
MICALL1,0.983
MICALL2,1.675
MICB,0.991
MICOS10,1.045
MICOS10-NBL1,0.817
MICOS13,1.363
MICU1,0.993
MICU2,1.354
MICU3,1.662
MIDEAS,0.374
MIDN,1.0
MIEF1,0.613
MIEF2,0.705
MIEN1,1.452
MIER1,0.733
MIER2,0.607
MIER3,0.226
MIF,1.961
MIF4GD,1.037
MIGA1,0.88
MIGA2,0.666
MIIP,1.244
MILR1,1.18
MINAR1,0.762
MINAR2,1.822
MINDY1,1.116
MINDY2,1.007
MINDY3,0.716
MINDY4,0.907
MINK1,0.34
MINPP1,0.758
MIOS,0.631
MIOX,1.357
MIP,0.942
MIPEP,1.122
MIPOL1,1.452
MIS12,1.18
MIS18A,0.854
MIS18BP1,0.757
MISP,1.275
MITD1,1.075
MITF,0.473
MIX23,0.958
MIXL1,1.924
MKI67,0.658
MKKS,1.112
MKLN1,0.426
MKNK1,0.877
MKNK2,1.463
MKRN1,0.296
MKRN2,0.892
MKRN2OS,1.326
MKRN3,0.82
MKS1,0.969
MKX,0.545
MLANA,1.933
MLC1,0.971
MLEC,0.339
MLF 1.00,1.207
MLF 2.00,0.648
MLH1,0.578
MLH3,0.724
MLIP,0.886
MLKL,1.145
MLLT1,0.379
MLLT10,0.281
MLLT11,0.836
MLLT3,0.167
MLLT6,0.327
MLN,1.309
MLNR,1.484
MLPH,0.803
MLST8,0.646
MLX,0.681
MLXIP,0.445
MLXIPL,0.818
MLYCD,1.165
MMAA,1.156
MMAB,0.874
MMACHC,1.162
MMADHC,0.986
MMD,1.199
MMD2,1.352
MME,0.931
MMEL1,0.965
MMP1,1.274
MMP10,1.256
MMP11,0.775
MMP12,1.515
MMP13,1.05
MMP14,0.295
MMP15,0.763
MMP16,0.299
MMP17,1.459
MMP19,1.144
MMP2,0.654
MMP20,1.197
MMP21,1.152
MMP23B,1.923
MMP24,0.595
MMP24-AS1-EDEM2,0.704
MMP25,1.448
MMP26,1.401
MMP27,1.193
MMP28,0.98
MMP3,1.262
MMP7,1.095
MMP8,1.241
MMP9,1.208
MMRN1,1.007
MMRN2,0.982
MMS19,0.739
MMS22L,0.491
MMUT,1.18
MN1,0.482
MNAT1,1.285
MND1,1.466
MNDA,1.556
MNS1,1.033
MNT,0.619
MNX1,0.634
MOAP1,1.834
MOB1A,0.727
MOB1B,1.241
MOB2,0.941
MOB3A,1.398
MOB3B,0.669
MOB3C,1.267
MOB4,0.275
MOBP,0.649
MOCOS,1.19
MOCS1,0.852
MOCS2,1.066
MOCS3,1.695
MOG,0.798
MOGAT1,1.309
MOGAT2,1.048
MOGAT3,1.316
MOGS,0.655
MOK,1.118
MON1A,0.854
MON1B,0.796
MON2,0.418
MORC1,0.528
MORC2,0.273
MORC3,0.37
MORF4L1,0.271
MORN1,1.391
MORN2,1.87
MORN3,1.141
MORN4,0.671
MORN5,1.245
MOS,1.944
MOSMO,0.913
MOSPD3,1.174
MOV10,0.432
MOV10L1,0.804
MOXD1,1.013
MPC1,0.919
MPC2,0.981
MPDU1,0.725
MPDZ,1.131
MPEG1,1.941
MPG,1.398
MPHOSPH10,0.569
MPHOSPH6,1.531
MPHOSPH8,0.496
MPHOSPH9,0.668
MPI,0.917
MPIG6B,1.276
MPL,0.987
MPLKIP,1.815
MPND,1.256
MPO,0.992
MPP2,0.878
MPP3,0.702
MPP4,1.066
MPP7,0.969
MPPE1,0.95
MPPED1,0.702
MPPED2,0.293
MPRIP,0.281
MPST,1.5
MPV17,0.848
MPV17L,1.714
MPV17L2,1.535
MPZ,0.655
MPZL1,0.777
MPZL2,1.703
MPZL3,1.176
MR1,1.209
MRAP,1.44
MRAP2,1.578
MRAS,0.444
MRC2,0.494
MRE11,0.73
MREG,1.429
MRFAP1,0.501
MRFAP1L1,1.369
MRGBP,0.574
MRGPRD,
MRGPRE,
MRGPRF,1.5
MRGPRG,
MRGPRX1,1.818
MRGPRX2,1.891
MRGPRX3,1.316
MRGPRX4,1.123
MRI1,1.553
MRM1,1.224
MRM2,1.682
MRM3,1.158
MRNIP,1.696
MRO,1.204
MROH1,0.943
MROH2A,1.004
MROH2B,1.02
MROH5,1.553
MROH6,1.351
MROH7,0.901
MROH7-TTC4,
MROH8,0.851
MROH9,1.126
MRPL1,0.781
MRPL10,1.113
MRPL11,1.397
MRPL12,1.048
MRPL13,1.328
MRPL14,1.408
MRPL15,1.059
MRPL16,1.105
MRPL17,1.208
MRPL18,1.072
MRPL19,1.121
MRPL2,1.1
MRPL20,1.41
MRPL21,0.918
MRPL22,1.118
MRPL23,1.852
MRPL24,0.813
MRPL27,0.431
MRPL28,1.344
MRPL3,1.362
MRPL30,1.097
MRPL32,1.035
MRPL33,1.012
MRPL34,1.752
MRPL35,1.081
MRPL36,1.561
MRPL37,0.968
MRPL38,1.308
MRPL39,1.162
MRPL4,0.975
MRPL40,1.143
MRPL41,1.775
MRPL42,1.384
MRPL43,1.029
MRPL44,1.191
MRPL45,0.807
MRPL46,1.13
MRPL47,1.452
MRPL48,0.66
MRPL49,0.865
MRPL50,1.083
MRPL51,0.777
MRPL52,1.12
MRPL53,1.481
MRPL54,1.175
MRPL55,1.022
MRPL57,1.915
MRPL58,1.01
MRPL9,1.359
MRPS10,0.974
MRPS11,1.463
MRPS12,1.568
MRPS14,1.264
MRPS15,1.155
MRPS16,0.929
MRPS17,0.997
MRPS18A,1.175
MRPS18B,1.116
MRPS18C,1.606
MRPS2,1.002
MRPS21,1.609
MRPS22,0.727
MRPS23,1.117
MRPS24,1.056
MRPS25,1.196
MRPS26,1.93
MRPS27,1.121
MRPS28,1.514
MRPS30,1.243
MRPS31,1.028
MRPS33,1.55
MRPS34,1.855
MRPS35,1.169
MRPS36,1.249
MRPS5,0.82
MRPS6,1.037
MRPS7,0.756
MRPS9,1.26
MRRF,0.836
MRS2,0.909
MRTFA,0.347
MRTFB,0.308
MRTO4,0.568
MS4A1,0.99
MS4A10,1.435
MS4A12,1.514
MS4A13,1.538
MS4A14,1.495
MS4A15,1.36
MS4A2,1.104
MS4A3,1.15
MS4A4A,1.356
MS4A4E,1.85
MS4A5,1.14
MS4A6A,1.034
MS4A6E,1.053
MS4A7,1.402
MS4A8,1.446
MSANTD1,0.733
MSANTD2,0.629
MSANTD3,0.548
MSANTD3-TMEFF1,0.497
MSANTD4,0.638
MSC,1.784
MSGN1,0.708
MSH2,0.617
MSH3,1.009
MSH4,1.19
MSH5,0.826
MSH5-SAPCD1,
MSH6,0.828
MSI1,0.391
MSI2,0.51
MSL1,0.367
MSL2,0.165
MSLN,1.369
MSMB,1.597
MSMO1,0.901
MSMP,0.96
MSR1,1.366
MSRA,1.945
MSRB1,1.218
MSRB2,1.503
MSRB3,0.778
MSS51,1.102
MST1,0.927
MST1R,0.953
MSTN,0.571
MSTO1,0.792
MSX1,1.289
MSX2,1.013
MT1A,1.688
MT1B,1.027
MT1E,1.277
MT1F,1.803
MT1G,1.511
MT1H,1.456
MT1HL1,1.905
MT1M,1.869
MT1X,1.356
MT2A,1.16
MT3,1.257
MT4,1.848
MTA1,0.152
MTA2,0.31
MTA3,0.614
MTAP,1.489
MTARC1,1.132
MTARC2,0.98
MTBP,0.952
MTCH1,0.645
MTCH2,0.689
MTCL1,0.597
MTDH,0.477
MTERF1,1.205
MTERF2,1.026
MTERF3,1.175
MTERF4,0.924
MTF1,0.417
MTF2,0.268
MTFMT,1.304
MTFP1,1.61
MTFR1,0.87
MTFR1L,0.556
MTFR2,1.454
MTG1,1.021
MTG2,0.908
MTHFD1,0.477
MTHFD1L,0.594
MTHFD2,0.829
MTHFD2L,1.069
MTHFR,0.829
MTHFS,0.827
MTHFSD,1.315
MTIF2,0.967
MTIF3,1.0
MTMR10,0.845
MTMR11,0.977
MTMR12,0.394
MTMR14,0.563
MTMR2,0.89
MTMR3,0.284
MTMR4,0.275
MTMR6,0.75
MTMR7,1.121
MTMR9,0.717
MTNR1A,1.9
MTNR1B,1.219
MTO1,0.767
MTOR,0.268
MTPAP,0.641
MTPN,0.828
MTR,0.608
MTRES1,1.115
MTREX,0.647
MTRF1,0.965
MTRF1L,1.085
MTRFR,1.224
MTRNR2L7,
MTRNR2L9,1.925
MTRR,0.875
MTSS1,0.196
MTSS2,0.403
MTTP,0.643
MTURN,0.607
MTUS1,1.002
MTUS2,0.434
MTX1,0.875
MTX2,1.096
MTX3,0.877
MUC1,0.886
MUC12,1.113
MUC13,0.833
MUC15,1.321
MUC16,0.757
MUC17,1.219
MUC19,0.955
MUC2,0.75
MUC20,1.282
MUC21,1.698
MUC22,0.841
MUC3A,1.301
MUC4,0.91
MUC5AC,1.168
MUC5B,0.4
MUC6,1.151
MUC7,1.701
MUC8,1.392
MUCL1,1.758
MUCL3,0.732
MUL1,1.121
MUS81,1.045
MUSK,0.683
MUSTN1,1.75
MUTYH,0.981
MVB12A,1.011
MVB12B,0.298
MVD,1.602
MVK,0.859
MVP,0.911
MX1,1.101
MX2,0.824
MXD1,0.525
MXD3,1.113
MXD4,1.37
MXI1,0.686
MXRA7,1.458
MXRA8,1.429
MYADM,0.959
MYADML2,1.631
MYB,0.254
MYBBP1A,1.243
MYBL1,0.28
MYBL2,0.496
MYBPC1,0.385
MYBPC2,1.114
MYBPC3,0.915
MYBPH,1.188
MYBPHL,1.039
MYC,0.128
MYCBP,0.748
MYCBP2,0.234
MYCBPAP,0.662
MYCL,0.617
MYCN,0.311
MYCT1,1.244
MYD88,0.684
MYDGF,1.317
MYEF2,0.638
MYEOV,1.718
MYF5,1.269
MYF6,1.24
MYG1,1.024
MYH1,1.035
MYH10,0.232
MYH11,0.368
MYH13,0.859
MYH14,0.633
MYH15,1.02
MYH2,0.673
MYH3,0.604
MYH4,0.936
MYH6,0.634
MYH7,0.644
MYH7B,1.013
MYH8,0.783
MYH9,0.159
MYL1,1.063
MYL10,1.109
MYL12A,1.22
MYL12B,0.614
MYL2,1.157
MYL3,0.811
MYL4,1.063
MYL5,1.728
MYL6,1.111
MYL6B,1.025
MYL7,1.533
MYL9,0.966
MYLIP,0.753
MYLK,0.322
MYLK2,0.635
MYLK3,0.906
MYLK4,1.139
MYLPF,0.579
MYMK,1.02
MYNN,0.553
MYO10,0.621
MYO15A,0.876
MYO16,0.525
MYO18A,0.397
MYO18B,0.887
MYO19,1.188
MYO1A,1.0
MYO1B,0.523
MYO1C,0.83
MYO1D,0.709
MYO1E,0.557
MYO1F,0.497
MYO1G,0.694
MYO1H,0.934
MYO3A,1.003
MYO3B,0.97
MYO5A,0.416
MYO5B,0.707
MYO5C,0.876
MYO6,0.482
MYO7A,0.961
MYO7B,0.956
MYO9A,0.382
MYO9B,0.411
MYOC,1.343
MYOCD,0.364
MYOCOS,1.405
MYOD1,1.749
MYOF,0.93
MYOG,0.715
MYOM1,0.912
MYOM2,1.448
MYOM3,0.936
MYORG,1.206
MYOT,0.923
MYOZ1,0.996
MYOZ2,1.033
MYOZ3,1.044
MYPN,0.591
MYPOP,1.53
MYRF,0.203
MYRFL,0.876
MYRIP,0.591
MYSM1,0.549
MYT1,0.257
MYT1L,0.052
MYZAP,1.086
MZB1,1.336
MZF1,1.148
MZT1,1.831
MZT2A,1.496
MZT2B,1.526
N4BP1,0.456
N4BP2,0.747
N4BP2L1,0.634
N4BP2L2,0.862
N4BP3,1.061
N6AMT1,1.915
NAA11,1.397
NAA15,0.438
NAA16,0.991
NAA20,1.31
NAA25,0.319
NAA30,0.399
NAA35,0.271
NAA38,1.526
NAA40,0.923
NAA50,0.697
NAA60,0.428
NAA80,0.915
NAAA,1.107
NAALAD2,1.134
NAALADL1,1.031
NAALADL2,1.104
NAB1,0.568
NAB2,0.379
NABP1,1.529
NABP2,0.548
NACA,0.405
NACA2,1.022
NACAD,0.654
NACC1,0.329
NACC2,0.57
NADK,0.567
NADK2,0.799
NADSYN1,0.929
NAE1,0.806
NAF1,0.704
NAGA,1.121
NAGK,1.028
NAGLU,0.978
NAGPA,1.494
NAGS,1.14
NAIF1,1.119
NAIP,1.009
NALCN,0.575
NALF1,0.145
NAMPT,0.336
NANOG,0.301
NANOGNB,1.51
NANOGP8,1.036
NANOS1,1.803
NANOS2,1.142
NANOS3,1.399
NANP,1.01
NANS,1.053
NAP1L1,0.216
NAP1L4,0.385
NAP1L5,1.884
NAPA,0.449
NAPB,1.045
NAPEPLD,0.801
NAPG,0.752
NAPRT,1.442
NAPSA,1.305
NARF,0.929
NARS1,0.917
NARS2,1.152
NASP,0.18
NAT1,1.906
NAT10,0.916
NAT14,1.891
NAT16,1.635
NAT2,1.938
NAT8,1.888
NAT8B,
NAT8L,0.854
NAT9,0.972
NATD1,1.167
NAV1,0.107
NAV2,0.268
NAV3,0.339
NAXD,0.689
NAXE,1.079
NBAS,0.72
NBEA,0.129
NBEAL1,0.889
NBEAL2,0.623
NBL1,0.855
NBN,0.756
NBPF1,0.371
NBPF10,1.558
NBPF11,1.27
NBPF12,1.725
NBPF14,1.121
NBPF15,1.545
NBPF19,1.309
NBPF20,1.767
NBPF26,1.388
NBPF3,1.072
NBPF4,1.746
NBPF6,1.354
NBPF8,1.515
NBPF9,1.513
NBR1,0.635
NCALD,0.702
NCAM1,0.176
NCAM2,0.311
NCAN,0.53
NCAPD2,0.59
NCAPD3,0.622
NCAPG,0.668
NCAPG2,0.408
NCAPH,0.481
NCAPH2,0.716
NCBP1,0.167
NCBP2,0.604
NCBP3,0.338
NCCRP1,1.396
NCDN,0.256
NCEH1,0.529
NCF1,0.617
NCF2,0.79
NCF4,0.987
NCK1,0.67
NCK2,0.565
NCKAP1,0.14
NCKAP1L,0.46
NCKAP5,0.61
NCKAP5L,0.776
NCKIPSD,0.683
NCL,0.084
NCLN,0.773
NCMAP,1.894
NCOA1,0.293
NCOA2,0.197
NCOA3,0.369
NCOA4,0.598
NCOA5,0.276
NCOA6,0.335
NCOA7,0.502
NCOR1,0.285
NCOR2,0.382
NCR1,1.133
NCR2,1.276
NCR3,1.193
NCR3LG1,1.277
NCS1,0.384
NCSTN,0.343
NDC1,0.375
NDC80,0.876
NDE1,0.678
NDEL1,0.323
NDFIP1,0.582
NDFIP2,0.738
NDN,0.478
NDNF,0.556
NDOR1,1.123
NDRG1,0.675
NDRG2,0.661
NDRG3,0.641
NDRG4,0.756
NDST1,0.484
NDST2,0.425
NDST3,0.699
NDST4,0.755
NDUFA10,0.973
NDUFA11,1.761
NDUFA12,1.188
NDUFA13,1.301
NDUFA2,1.125
NDUFA3,1.07
NDUFA4,1.689
NDUFA4L2,1.758
NDUFA5,1.309
NDUFA6,1.521
NDUFA7,1.887
NDUFA8,1.079
NDUFA9,0.783
NDUFAB1,0.613
NDUFAF1,0.828
NDUFAF2,1.107
NDUFAF3,1.22
NDUFAF4,0.962
NDUFAF5,1.068
NDUFAF6,1.226
NDUFAF7,1.262
NDUFAF8,1.807
NDUFB1,1.286
NDUFB10,1.543
NDUFB2,1.44
NDUFB3,1.457
NDUFB4,1.133
NDUFB5,1.493
NDUFB6,1.925
NDUFB7,1.945
NDUFB8,0.847
NDUFB9,1.025
NDUFC1,1.556
NDUFC2,0.964
NDUFC2-KCTD14,0.956
NDUFS1,0.782
NDUFS2,0.662
NDUFS3,0.856
NDUFS4,1.519
NDUFS5,1.092
NDUFS6,1.54
NDUFS7,0.726
NDUFS8,0.758
NDUFV1,1.006
NDUFV2,0.582
NDUFV3,1.458
NEB,0.566
NEBL,0.456
NECAB1,1.159
NECAB2,1.713
NECAB3,1.038
NECAP1,0.593
NECAP2,1.257
NECTIN1,0.659
NECTIN2,0.533
NECTIN3,0.248
NECTIN4,0.503
NEDD1,0.794
NEDD4,0.774
NEDD4L,0.435
NEDD8,0.289
NEDD8-MDP1,0.651
NEDD9,0.397
NEFH,1.266
NEFL,0.986
NEFM,0.541
NEGR1,0.382
NEIL1,0.798
NEIL2,1.565
NEIL3,1.051
NEK1,0.947
NEK10,0.969
NEK11,1.057
NEK2,0.648
NEK3,0.887
NEK4,1.131
NEK5,0.937
NEK6,0.922
NEK7,1.045
NEK8,0.812
NEK9,0.824
NELFA,0.959
NELFB,0.807
NELFCD,0.862
NELFE,0.634
NELL1,0.8
NELL2,0.493
NEMF,0.677
NEMP1,0.693
NEMP2,1.129
NENF,1.242
NEO1,0.453
NEPRO,1.068
NES,1.264
NET1,0.894
NETO1,0.584
NETO2,0.582
NEU1,1.045
NEU2,1.878
NEU3,1.273
NEU4,1.463
NEURL1,0.931
NEURL1B,0.987
NEURL2,1.451
NEURL3,1.646
NEURL4,0.378
NEUROD1,0.688
NEUROD2,0.897
NEUROD4,1.191
NEUROD6,0.413
NEUROG1,1.79
NEUROG2,1.45
NEUROG3,1.892
NEXN,0.878
NF1,0.249
NF2,0.177
NFAM1,0.781
NFASC,0.34
NFAT5,0.183
NFATC1,0.345
NFATC2,0.318
NFATC2IP,0.982
NFATC3,0.467
NFATC4,0.448
NFE2,0.798
NFE2L1,0.399
NFE2L2,0.419
NFE2L3,1.802
NFIA,0.164
NFIB,0.101
NFIC,0.297
NFIL3,0.696
NFIX,0.064
NFKB1,0.162
NFKB2,0.295
NFKBIA,0.441
NFKBIB,0.545
NFKBID,0.662
NFKBIE,0.655
NFKBIL1,0.973
NFKBIZ,0.259
NFRKB,0.543
NFS1,0.595
NFU1,1.538
NFX1,0.472
NFXL1,0.91
NFYA,0.615
NFYB,0.877
NFYC,0.725
NGB,1.452
NGDN,1.098
NGEF,0.457
NGF,0.617
NGFR,1.063
NGLY1,0.918
NGRN,1.616
NHEJ1,0.797
NHLH1,1.19
NHLH2,1.732
NHLRC1,1.133
NHLRC2,0.724
NHLRC3,1.154
NHLRC4,1.82
NHP2,0.969
NHSL1,0.592
NIBAN1,1.147
NIBAN2,0.563
NIBAN3,1.16
NICN1,1.034
NID1,0.632
NID2,0.635
NIF3L1,1.009
NIFK,0.818
NIM1K,1.189
NIN,0.543
NINJ1,1.103
NINJ2,1.49
NINL,1.075
NIP7,0.743
NIPA1,0.683
NIPA2,0.69
NIPAL1,1.119
NIPAL2,1.038
NIPAL3,1.053
NIPAL4,0.946
NIPBL,0.055
NIPSNAP1,0.678
NIPSNAP2,1.196
NIPSNAP3A,1.176
NIPSNAP3B,1.146
NISCH,0.448
NIT1,0.991
NIT2,1.249
NKAIN1,0.797
NKAIN2,0.904
NKAIN3,1.374
NKAIN4,1.442
NKAPD1,0.591
NKAPL,0.812
NKD1,0.649
NKD2,1.613
NKG7,0.903
NKIRAS1,0.999
NKIRAS2,1.068
NKPD1,1.73
NKTR,0.507
NKX1-2,0.894
NKX2-1,0.311
NKX2-2,0.64
NKX2-3,0.561
NKX2-4,1.968
NKX2-5,0.321
NKX2-6,1.687
NKX2-8,1.932
NKX3-1,1.179
NKX3-2,1.203
NKX6-1,1.021
NKX6-2,1.68
NKX6-3,1.24
NLE1,0.744
NLGN1,0.279
NLGN2,0.339
NLK,0.308
NLN,0.934
NLRC3,1.355
NLRC4,0.948
NLRC5,0.551
NLRP1,0.808
NLRP10,1.258
NLRP11,0.767
NLRP12,1.29
NLRP13,1.019
NLRP14,1.179
NLRP2,1.024
NLRP3,0.611
NLRP4,0.645
NLRP5,0.963
NLRP6,1.126
NLRP7,0.947
NLRP8,1.096
NLRP9,1.24
NLRX1,1.085
NMB,1.397
NMBR,1.051
NMD3,0.876
NME1,0.909
NME1-NME2,0.98
NME2,1.258
NME3,1.941
NME4,1.525
NME5,1.473
NME6,1.094
NME7,1.072
NME8,1.079
NME9,1.375
NMI,1.46
NMNAT1,1.162
NMNAT2,0.344
NMNAT3,1.427
NMRAL1,1.352
NMRK1,1.204
NMRK2,1.844
NMS,1.454
NMT1,0.318
NMT2,0.732
NMU,1.283
NMUR1,1.33
NMUR2,1.313
NNAT,1.134
NNMT,1.306
NNT,0.567
NOA1,0.862
NOB1,1.233
NOBOX,0.991
NOC2L,1.344
NOC3L,1.08
NOC4L,0.918
NOCT,0.754
NOD1,0.981
NOD2,1.006
NODAL,0.694
NOG,0.367
NOL10,0.961
NOL11,0.73
NOL12,1.369
NOL3,0.967
NOL4,0.288
NOL4L,0.173
NOL6,0.286
NOL7,1.173
NOL8,0.924
NOL9,0.628
NOLC1,0.622
NOM1,0.961
NOMO1,0.548
NOMO2,0.566
NOMO3,0.571
NOP10,0.964
NOP14,0.701
NOP16,0.855
NOP2,0.09
NOP53,0.997
NOP56,0.723
NOP58,0.995
NOP9,0.935
NOPCHAP1,1.273
NOS1,0.399
NOS1AP,0.452
NOS2,0.848
NOS3,0.894
NOSIP,1.112
NOSTRIN,1.37
NOTCH1,0.183
NOTCH2,0.145
NOTCH2NLA,1.8
NOTCH2NLB,1.296
NOTCH2NLC,1.916
NOTCH2NLR,1.899
NOTCH3,0.557
NOTCH4,0.866
NOTO,1.597
NOTUM,0.873
NOVA1,0.364
NOVA2,0.325
NOX3,1.2
NOX4,0.975
NOX5,1.069
NOXA1,1.532
NOXO1,1.622
NOXRED1,0.952
NPAP1,1.935
NPAS1,0.754
NPAS2,0.271
NPAS3,0.261
NPAS4,0.235
NPAT,0.462
NPB,1.635
NPBWR1,1.891
NPBWR2,1.878
NPC1,0.662
NPC1L1,0.947
NPC2,1.422
NPDC1,1.193
NPEPL1,1.225
NPEPPS,0.237
NPFF,1.628
NPFFR1,1.893
NPFFR2,1.589
NPHP1,0.92
NPHP3,0.873
NPHP3-ACAD11,0.915
NPHP4,1.117
NPHS1,0.871
NPHS2,1.319
NPIPA1,0.61
NPIPA2,1.72
NPIPA3,1.876
NPIPA5,1.348
NPIPB11,0.864
NPIPB12,1.029
NPIPB15,0.472
NPIPB2,1.251
NPIPB3,1.819
NPIPB4,0.624
NPIPB5,0.743
NPIPB6,0.743
NPIPB7,1.446
NPIPB8,1.753
NPIPB9,1.95
NPL,1.182
NPLOC4,0.337
NPM1,0.313
NPM2,0.961
NPM3,1.032
NPNT,0.939
NPPA,1.215
NPPB,1.629
NPPC,1.036
NPRL2,0.531
NPRL3,0.653
NPR 1.00,0.623
NPR 2.00,0.5
NPR 3.00,0.905
NPS,1.68
NPSR1,1.203
NPTN,0.257
NPTX1,0.52
NPTX2,1.092
NPTXR,0.815
NPVF,1.737
NPW,1.923
NPY,1.419
NPY1R,0.683
NPY2R,1.079
NPY4R,1.625
NPY4R2,1.466
NPY5R,1.18
NQO1,1.173
NQO2,1.07
NR0B2,1.34
NR1D1,0.476
NR1D2,0.682
NR1H2,0.668
NR1H3,0.556
NR1H4,0.577
NR1I2,1.141
NR1I3,0.953
NR2C1,0.653
NR2C2,0.152
NR2C2AP,1.018
NR2E1,0.268
NR2E3,1.415
NR2F1,0.118
NR2F2,0.197
NR2F6,1.256
NR3C1,0.246
NR3C2,0.268
NR4A1,0.713
NR4A2,0.064
NR4A3,0.435
NR5A1,0.314
NR5A2,0.532
NR6A1,0.193
NRAP,1.027
NRARP,1.775
NRAS,0.55
NRBF2,0.673
NRBP1,0.215
NRBP2,0.762
NRCAM,0.567
NRDC,0.503
NRDE2,0.631
NREP,1.245
NRF1,0.188
NRG1,0.234
NRG2,0.553
NRG3,0.613
NRGN,1.539
NRIP1,0.489
NRIP2,1.033
NRIP3,1.504
NRL,1.62
NRM,0.797
NRN1,0.62
NRN1L,1.902
NRP1,0.387
NRP2,0.485
NRROS,0.909
NRSN1,1.197
NRSN2,1.425
NRTN,1.145
NRXN1,0.201
NRXN2,0.244
NRXN3,0.277
NSA2,0.91
NSD1,0.094
NSD2,0.101
NSD3,0.067
NSF,0.425
NSFL1C,0.417
NSG1,0.765
NSG2,0.48
NSL1,0.883
NSMAF,0.767
NSMCE1,0.84
NSMCE2,1.113
NSMCE3,
NSMCE4A,1.102
NSMF,0.589
NSRP1,0.517
NSUN2,0.965
NSUN3,0.795
NSUN4,0.899
